Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:24:09,2018-08-27 18:24:51,42.765s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:24:09,2018-08-27 18:24:18,9.300s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:24:09,2018-08-27 18:24:13,3.741s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:24:13,2018-08-27 18:24:14,0.895s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:24:14,2018-08-27 18:24:14,0.297s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:24:14,2018-08-27 18:24:17,3.052s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:24:17,2018-08-27 18:24:17,0.141s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:24:17,2018-08-27 18:24:17,0.099s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:24:17,2018-08-27 18:24:18,0.845s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:24:18,2018-08-27 18:24:50,32.333s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:24:18,2018-08-27 18:24:50,32.145s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:24:50,2018-08-27 18:24:50,0.000s,PASSED
